date,city,icao,captured_utc,local_hour,hours_to_sunset,obs_source,obs_n,obs_max,obs_latest,obs_latest_utc,wind_dir,wind_kt,precip_mm,cloud_pct,n_buckets,book_sum,mode,mode_p,top_open,bot_open,cum_up2,cum_dn2,bid_up2,ask_up2,depth_up2,bid_dn2,ask_dn2,depth_dn2,headroom_up2,headroom_mode
2026-09-21,amsterdam,EHAM,2026-09-21T17:45:55+00:00,19.75,-0.07,metar,13,19.0,16.0,2026-09-21T17:25:00+00:00,300,7,,20,11,1.0045,19,0.995,1,1,0.0015,0.0025,0.0,0.001,7744,0.0,0.001,13681,2.0,0.0
2026-09-21,ankara,LTAC,2026-09-21T17:45:55+00:00,20.75,-1.98,metar,13,26.0,20.0,2026-09-21T17:20:00+00:00,,2,,20,11,1.0045,26,0.995,1,1,0.002,0.002,0.0,0.001,8258,0.0,0.001,13648,2.0,0.0
2026-09-22,beijing,ZBAA,2026-09-21T17:45:55+00:00,1.75,16.42,metar,4,19.0,18.0,2026-09-21T17:30:00+00:00,,2,,,11,1.0415,31,0.4801,1,1,0.0058,0.0821,0.004,0.005,1895,0.05,0.08,2353,14.0,12.0
2026-09-21,buenos-aires,SAEZ,2026-09-21T17:45:55+00:00,14.75,4.05,metar,8,16.0,15.0,2026-09-21T17:00:00+00:00,250,18,,75,11,1.009,16,0.9856,1,1,0.0069,0.002,0.001,0.008,1584,0.0,0.001,8246,2.0,0.0
2026-09-22,busan,RKPK,2026-09-21T17:45:55+00:00,2.75,15.58,metar,3,21.0,18.0,2026-09-21T17:00:00+00:00,290,5,,20,11,1.03,28,0.6262,1,1,0.0078,0.0262,0.005,0.007,2278,0.01,0.04,1431,9.0,7.0
2026-09-21,cape-town,FACT,2026-09-21T17:45:55+00:00,19.75,-1.08,metar,7,27.0,19.0,2026-09-21T17:00:00+00:00,220,6,,,11,1.0045,27,0.995,1,1,0.002,0.002,0.0,0.001,3997,0.0,0.001,8576,2.0,0.0
2026-09-22,chengdu,ZUUU,2026-09-21T17:45:55+00:00,1.75,17.25,metar,2,23.0,23.0,2026-09-21T17:00:00+00:00,240,4,,20,11,1.002,26,0.2645,1,1,0.1761,0.1302,0.13,0.14,1151,0.1,0.11,750,5.0,3.0
2026-09-22,chongqing,ZUCK,2026-09-21T17:45:55+00:00,1.75,17.07,metar,2,21.0,21.0,2026-09-21T17:00:00+00:00,350,4,,100,11,1.0485,22,0.434,1,1,0.1063,0.0019,0.07,0.1,1230,0.0,0.001,5618,3.0,1.0
2026-09-22,guangzhou,ZGGG,2026-09-21T17:45:55+00:00,1.75,16.62,metar,4,28.0,28.0,2026-09-21T17:30:00+00:00,60,4,,,11,1.0205,35,0.3283,1,1,0.0088,0.2073,0.008,0.01,923,0.13,0.14,1565,9.0,7.0
2026-09-21,helsinki,EFHK,2026-09-21T17:45:55+00:00,20.75,-1.38,metar,13,16.0,10.0,2026-09-21T17:20:00+00:00,310,5,,20,11,1.0045,16,0.995,1,1,0.0015,0.0025,0.0,0.001,8045,0.0,0.001,13097,2.0,0.0
2026-09-21,istanbul,LTFM,2026-09-21T17:45:55+00:00,20.75,-1.7,metar,13,26.0,23.0,2026-09-21T17:20:00+00:00,200,7,,,11,1.0045,26,0.995,1,1,0.0015,0.0025,0.0,0.001,4825,0.0,0.001,7849,2.0,0.0
2026-09-21,jeddah,OEJN,2026-09-21T17:45:55+00:00,20.75,-2.43,metar,7,35.0,32.0,2026-09-21T17:00:00+00:00,270,4,,,11,1.0045,36,0.995,1,1,0.0015,0.0025,0.0,0.001,8281,0.0,0.001,12021,3.0,1.0
2026-09-21,karachi,OPKC,2026-09-21T17:45:55+00:00,22.75,-4.28,metar,13,37.0,31.0,2026-09-21T17:30:00+00:00,290,6,,,11,1.0045,41,0.995,1,1,0.001,0.003,0.0,0.001,4048,0.0,0.001,9167,6.0,4.0
2026-09-22,kuala-lumpur,WMKK,2026-09-21T17:45:55+00:00,1.75,17.38,metar,4,28.0,27.0,2026-09-21T17:30:00+00:00,,2,,20,11,1.018,31,0.3733,1,1,0.1194,0.0359,0.1,0.11,1385,0.02,0.04,734,5.0,3.0
2026-09-21,london,EGLC,2026-09-21T17:45:55+00:00,18.75,0.23,metar,13,23.0,23.0,2026-09-21T17:20:00+00:00,290,3,,100,11,1.0025,23,0.993,1,1,0.003,0.002,0.0,0.002,3377,0.0,0.001,16338,2.0,0.0
2026-09-21,lucknow,VILK,2026-09-21T17:45:55+00:00,23.25,-5.2,metar,14,33.0,29.0,2026-09-21T17:30:00+00:00,,2,,20,11,1.0045,33,0.995,1,1,0.0025,0.0015,0.0,0.001,3313,0.0,0.001,7487,2.0,0.0
2026-09-21,madrid,LEMD,2026-09-21T17:45:55+00:00,19.75,0.45,metar,13,33.0,32.0,2026-09-21T17:30:00+00:00,240,1,,,11,1.004,33,0.995,1,1,0.001,0.003,0.0,0.001,2780,0.0,0.001,13647,2.0,0.0
2026-09-22,manila,RPLL,2026-09-21T17:45:55+00:00,1.75,16.1,metar,2,26.0,26.0,2026-09-21T17:00:00+00:00,,2,,75,11,1.0135,32,0.3897,1,1,0.0646,0.0326,0.05,0.07,2186,0.02,0.04,1406,8.0,6.0
2026-09-21,mexico-city,MMMX,2026-09-21T17:45:55+00:00,11.75,6.78,metar,6,21.0,21.0,2026-09-21T16:47:00+00:00,30,4,,75,11,1.0395,26,0.5435,1,1,0,0.0091,,,,0.001,0.009,1040,7.0,5.0
2026-09-21,milan,LIMC,2026-09-21T17:45:55+00:00,19.75,-0.37,metar,13,30.0,25.0,2026-09-21T17:20:00+00:00,140,3,,,11,1.0045,30,0.995,1,1,0,0.004,,,,0.0,0.001,14114,2.0,0.0
2026-09-21,moscow,UUWW,2026-09-21T17:45:55+00:00,20.75,-2.22,metar,15,21.0,16.0,2026-09-21T17:30:00+00:00,360,2,,,11,1.0045,21,0.995,1,1,0.0005,0.0035,0.0,0.001,7797,0.0,0.001,9163,2.0,0.0
2026-09-21,munich,EDDM,2026-09-21T17:45:55+00:00,19.75,-0.55,metar,13,17.0,14.0,2026-09-21T17:20:00+00:00,270,4,,,11,1.0045,17,0.995,1,1,0.003,0.001,0.0,0.001,8249,0.0,0.001,14969,2.0,0.0
2026-09-21,panama-city,MPMG,2026-09-21T17:45:55+00:00,12.75,5.47,metar,6,30.0,30.0,2026-09-21T17:00:00+00:00,180,6,,40,11,1.005,31,0.5323,1,1,0.0114,0.0035,0.003,0.02,828,0.0,0.001,3403,3.0,1.0
2026-09-21,paris,LFPB,2026-09-21T17:45:55+00:00,19.75,0.07,metar,14,22.0,21.0,2026-09-21T17:30:00+00:00,30,6,,,11,1.004,22,0.995,1,1,0.0025,0.0015,0.0,0.001,2707,0.0,0.001,13114,2.0,0.0
2026-09-22,qingdao,ZSQD,2026-09-21T17:45:55+00:00,1.75,16.18,metar,2,17.0,17.0,2026-09-21T17:00:00+00:00,320,4,,,11,1.039,30,0.4957,1,1,0.0568,0.0289,0.05,0.06,996,0.02,0.03,1082,15.0,13.0
2026-09-21,sao-paulo,SBGR,2026-09-21T17:45:55+00:00,14.75,3.25,metar,6,31.0,31.0,2026-09-21T17:00:00+00:00,340,16,,20,11,1.019,31,0.8489,1,1,0.0069,0.0015,0.0,0.005,785,0.0,0.001,1659,2.0,0.0
